series_success,fourth_down_converted,fourth_down_failed,first_down,yardline_100,ydstogo,yards_gained,score_differential,game_seconds_remaining,epa,wp,rush_attempt,pass_attempt,ep
1.0,1.0,0.0,1.0,58.0,6.0,29.0,-16.0,503.0,4.4449563,0.022870224,0.0,1.0,-0.3416995
1.0,1.0,0.0,1.0,56.0,1.0,1.0,-15.0,1618.0,2.307012,0.07965251,1.0,0.0,-0.122180045
1.0,1.0,0.0,1.0,48.0,1.0,2.0,-8.0,869.0,2.2567148,0.13511212,1.0,0.0,0.4857157
1.0,1.0,0.0,1.0,47.0,3.0,11.0,-1.0,157.0,2.8212793,0.4959773,0.0,1.0,0.28167564
1.0,1.0,0.0,1.0,63.0,1.0,3.0,-3.0,3120.0,2.26989,0.49217886,1.0,0.0,0.1190951
1.0,1.0,0.0,1.0,5.0,1.0,5.0,-4.0,2180.0,3.1697483,0.4374262,0.0,1.0,3.8302517
1.0,1.0,0.0,1.0,1.0,1.0,1.0,-4.0,1681.0,2.5294545,0.468406,1.0,0.0,4.470546
0.0,0.0,1.0,0.0,52.0,1.0,0.0,0.0,792.0,-3.4415746,0.44485652,1.0,0.0,0.56802124
1.0,1.0,0.0,1.0,35.0,1.0,19.0,-10.0,41.0,1.055615,0.028796906,0.0,1.0,1.7332445
1.0,1.0,0.0,1.0,50.0,1.0,2.0,-4.0,1646.0,2.136192,0.36494365,1.0,0.0,0.97451186
1.0,1.0,0.0,1.0,35.0,1.0,7.0,7.0,191.0,2.0006182,0.9239274,0.0,1.0,1.4621961
0.0,0.0,1.0,0.0,51.0,1.0,0.0,14.0,1081.0,-3.2627423,0.94112676,1.0,0.0,0.26378426
0.0,0.0,1.0,0.0,31.0,24.0,0.0,-14.0,295.0,-2.594646,0.03469241,0.0,1.0,1.5525535
0.0,0.0,1.0,0.0,28.0,1.0,0.0,14.0,28.0,-1.4694998,0.9994247,0.0,1.0,1.4694998
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2806.0,2.1294012,0.63657045,0.0,1.0,4.870599
0.0,0.0,1.0,0.0,48.0,4.0,0.0,-18.0,1647.0,-2.662503,0.06378615,0.0,1.0,-0.6058923
1.0,1.0,0.0,1.0,49.0,1.0,2.0,7.0,2420.0,2.1262522,0.671073,1.0,0.0,0.60998774
0.0,0.0,1.0,0.0,36.0,6.0,-10.0,-14.0,1875.0,-2.9033673,0.15298441,0.0,1.0,0.998556
0.0,0.0,1.0,0.0,33.0,11.0,10.0,-21.0,889.0,-1.9035497,0.015610422,0.0,1.0,1.0102743
0.0,0.0,1.0,0.0,74.0,5.0,-6.0,-15.0,294.0,-3.2581165,0.009885496,0.0,1.0,-1.2172235
1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,1224.0,2.0199084,0.91173446,1.0,0.0,4.9800916
0.0,0.0,1.0,0.0,70.0,5.0,0.0,-29.0,84.0,-3.2873359,4.3794258e-05,0.0,1.0,-0.33050478
1.0,1.0,0.0,1.0,51.0,2.0,9.0,-10.0,1631.0,3.0534465,0.20404413,0.0,1.0,0.4335231
0.0,0.0,1.0,0.0,70.0,1.0,0.0,-14.0,951.0,-3.474101,0.06634326,1.0,0.0,-0.37257215
1.0,1.0,0.0,1.0,45.0,1.0,2.0,7.0,2873.0,2.1332107,0.7034762,1.0,0.0,0.42679524
0.0,0.0,1.0,0.0,13.0,1.0,0.0,-18.0,236.0,-4.6280923,0.002908044,0.0,1.0,3.4341145
1.0,1.0,0.0,1.0,56.0,1.0,1.0,-8.0,2201.0,2.1424632,0.18868452,1.0,0.0,0.51300216
0.0,0.0,1.0,0.0,74.0,24.0,0.0,-1.0,69.0,0.16307816,0.29840705,0.0,1.0,-0.16307816
1.0,1.0,0.0,1.0,37.0,7.0,8.0,-7.0,2573.0,3.484794,0.29743823,0.0,1.0,0.54584306
1.0,1.0,0.0,1.0,8.0,2.0,4.0,-4.0,1124.0,2.8249984,0.45527473,0.0,1.0,3.0835073
1.0,1.0,0.0,1.0,41.0,2.0,6.0,0.0,3267.0,2.87396,0.612223,1.0,0.0,1.0038258
0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,2899.0,-4.0040417,0.83579916,1.0,0.0,4.829257
1.0,1.0,0.0,1.0,38.0,3.0,19.0,-7.0,2550.0,4.165961,0.22638316,0.0,1.0,0.361672
1.0,1.0,0.0,1.0,11.0,2.0,6.0,-7.0,2387.0,2.6438391,0.27933505,1.0,0.0,3.047159
1.0,1.0,0.0,1.0,28.0,2.0,20.0,10.0,1858.0,2.8072302,0.8886424,0.0,1.0,1.9098557
0.0,0.0,1.0,0.0,26.0,10.0,0.0,-14.0,224.0,-2.694662,0.023731465,0.0,1.0,1.8507673
0.0,0.0,1.0,0.0,36.0,15.0,0.0,-14.0,10.0,-0.9229204,0.00071779336,0.0,1.0,0.9229204
1.0,1.0,0.0,1.0,50.0,1.0,2.0,0.0,3440.0,2.1425354,0.51919484,1.0,0.0,0.9765468
1.0,1.0,0.0,1.0,43.0,9.0,15.0,7.0,1989.0,3.3933275,0.7516994,0.0,1.0,0.016162923
1.0,1.0,0.0,1.0,35.0,2.0,3.0,-18.0,947.0,2.1093886,0.027248468,0.0,1.0,1.8050518
0.0,0.0,1.0,0.0,13.0,13.0,5.0,-18.0,702.0,-2.5920668,0.015217436,0.0,1.0,2.754685
1.0,1.0,0.0,1.0,40.0,1.0,2.0,14.0,93.0,1.3320653,0.99940026,1.0,0.0,1.0497208
1.0,1.0,0.0,1.0,50.0,1.0,14.0,1.0,1276.0,3.219577,0.5460421,1.0,0.0,0.39530692
0.0,0.0,1.0,0.0,66.0,1.0,0.0,-14.0,592.0,-3.7721667,0.038218714,1.0,0.0,0.19411829
1.0,1.0,0.0,1.0,7.0,1.0,7.0,-14.0,96.0,3.3285193,0.0065435753,0.0,1.0,3.6714807
1.0,1.0,0.0,1.0,20.0,2.0,20.0,0.0,2833.0,4.185201,0.5909423,0.0,1.0,2.8147988
0.0,0.0,1.0,0.0,33.0,3.0,0.0,-24.0,1230.0,-3.2824197,0.00543358,0.0,1.0,1.760017
0.0,0.0,1.0,0.0,50.0,3.0,-7.0,-2.0,125.0,-2.7572963,0.3619954,0.0,1.0,0.289844
0.0,0.0,1.0,0.0,69.0,4.0,0.0,-9.0,68.0,-3.0271297,0.019828377,0.0,1.0,-0.2117661
1.0,1.0,0.0,1.0,30.0,1.0,3.0,13.0,460.0,1.8432207,0.981091,1.0,0.0,2.0136716
1.0,1.0,0.0,1.0,65.0,1.0,3.0,-4.0,2614.0,2.187486,0.4361743,1.0,0.0,-0.18450722
1.0,1.0,0.0,1.0,68.0,3.0,22.0,-14.0,468.0,3.4827805,0.028509999,0.0,1.0,-0.52464694
1.0,1.0,0.0,1.0,26.0,1.0,1.0,3.0,1183.0,1.790298,0.69345385,1.0,0.0,2.4354923
1.0,1.0,0.0,1.0,30.0,2.0,5.0,7.0,2115.0,2.127269,0.7551308,1.0,0.0,2.1031284
1.0,1.0,0.0,1.0,24.0,10.0,24.0,-15.0,359.0,4.4899397,0.029590108,0.0,1.0,2.5100603
0.0,0.0,1.0,0.0,5.0,5.0,0.0,-8.0,75.0,-2.5190172,0.08327529,0.0,1.0,2.5190172
1.0,1.0,0.0,1.0,56.0,5.0,8.0,-16.0,403.0,2.8479288,0.016350064,0.0,1.0,-0.0018691067
1.0,1.0,0.0,1.0,39.0,1.0,2.0,-16.0,258.0,1.5397713,0.006671645,1.0,0.0,1.612616
0.0,0.0,1.0,0.0,40.0,10.0,6.0,-16.0,97.0,-0.72359467,0.0009858048,0.0,1.0,0.72359467
1.0,1.0,0.0,1.0,43.0,4.0,29.0,-7.0,2521.0,4.852648,0.26536703,0.0,1.0,0.22535512
1.0,1.0,0.0,1.0,35.0,2.0,3.0,-14.0,392.0,2.0997016,0.039036665,0.0,1.0,1.7715591
1.0,1.0,0.0,1.0,33.0,11.0,14.0,-14.0,306.0,3.2061183,0.030985357,0.0,1.0,1.3968779
1.0,1.0,0.0,1.0,5.0,1.0,5.0,-14.0,224.0,3.2775168,0.0407039,1.0,0.0,3.7224832
1.0,1.0,0.0,1.0,27.0,1.0,2.0,4.0,2288.0,1.6825897,0.7523459,1.0,0.0,2.6223216
1.0,1.0,0.0,1.0,48.0,1.0,10.0,-4.0,1158.0,2.9643176,0.31137362,0.0,1.0,0.50070715
0.0,0.0,1.0,0.0,31.0,11.0,0.0,-8.0,157.0,-3.1311903,0.062090166,0.0,1.0,1.5326518
1.0,1.0,0.0,1.0,31.0,1.0,1.0,-6.0,1161.0,1.7852505,0.28565162,1.0,0.0,2.0697331
1.0,1.0,0.0,1.0,36.0,4.0,9.0,-3.0,516.0,2.8738387,0.35175344,0.0,1.0,1.135613
0.0,0.0,1.0,0.0,33.0,10.0,0.0,-5.0,7.0,-1.5475154,0.15841292,0.0,1.0,1.5475154
0.0,0.0,1.0,0.0,18.0,3.0,-7.0,4.0,2092.0,-3.4677207,0.73163176,0.0,1.0,2.531965
0.0,0.0,1.0,0.0,13.0,1.0,0.0,-7.0,2345.0,-3.807759,0.34525043,1.0,0.0,3.6478343
1.0,1.0,0.0,1.0,61.0,1.0,31.0,7.0,1129.0,4.1458206,0.7610688,0.0,1.0,-0.29642344
0.0,0.0,1.0,0.0,35.0,18.0,0.0,-20.0,294.0,-2.5132394,0.0010949032,0.0,1.0,0.9503212
1.0,1.0,0.0,1.0,9.0,1.0,3.0,19.0,212.0,1.911384,0.99953353,1.0,0.0,2.732197
1.0,1.0,0.0,1.0,58.0,10.0,22.0,-10.0,28.0,1.5792166,0.0061598453,0.0,1.0,0.08919644
0.0,0.0,1.0,0.0,37.0,3.0,0.0,-3.0,3185.0,-2.8474286,0.35096362,0.0,1.0,0.33348587
